sentinel_id,title,doi,concept_block,expected_databases,source_record,validation_status,retrieved_by,checked_date,notes
SENT-001,Maelstrom Research guidelines for rigorous retrospective data harmonization,10.1093/ije/dyw075,Retrospective harmonisation framework,"MEDLINE;Scopus;Embase;Web of Science",CORE-001,NOT_TESTED,,,Primary framework sentinel
SENT-002,Data harmonization and federated analysis of population-based studies: the BioSHaRE project,10.1186/1742-7622-10-12,International harmonisation infrastructure,"MEDLINE;Scopus;Embase;Web of Science",CORE-002,NOT_TESTED,,,Infrastructure and federated-analysis sentinel
SENT-003,Overview of retrospective data harmonisation in the MINDMAP project: process and results,10.1136/jech-2020-214259,Applied harmonisation process,"MEDLINE;Scopus;Embase;Web of Science",CORE-003,NOT_TESTED,,,Process and DataSchema sentinel
SENT-004,Measurement equivalence: a glossary for comparative population health research,10.1136/jech-2017-209962,Measurement equivalence,"MEDLINE;Scopus;Embase;Web of Science",CORE-004,NOT_TESTED,,,Conceptual terminology sentinel
SENT-005,Statistical methods for retrospective harmonization of longitudinal epidemiological data: a scoping review,10.1007/s10654-026-01404-3,Statistical harmonisation methods,"MEDLINE;Scopus;Embase;Web of Science",CORE-006,NOT_TESTED,,,Recent review and statistical-method sentinel
SENT-006,Comparing patient-reported outcome and experience measures in international health surveys,10.1787/acf46da9-en,PROM PREM international surveys,"Scopus;Embase;Web of Science;grey literature",CORE-011,NOT_TESTED,,,Direct OECD benchmark; bibliographic database indexing must be verified
