run_id,search_id,query_version,work_package,stream_tags,api_type,endpoint,executed_at_utc,total_reported,total_retrieved,pages_retrieved,complete,pilot,manifest_path,normalized_path,normalized_sha256,notes
WP1A-WOS-01-1.0-20260901T205112Z,WP1A-WOS-01,1.0,WP1A,WP1A_METHODS,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:51:12Z,532,50,1,FALSE,TRUE,data/raw/scoping-review/wos/WP1A-WOS-01-1.0-20260901T205112Z/manifest.json,data/interim/scoping-review/wos/WP1A-WOS-01-1.0-20260901T205112Z.csv,0670a3fb6af35c433995ba49baaf78c92becb9ad9c1da57acef196736498d842,Count plus first page; scientific review pending
WP1A-WOS-02-1.0-20260901T205114Z,WP1A-WOS-02,1.0,WP1A,WP1A_MEASUREMENT,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:51:14Z,3660,50,1,FALSE,TRUE,data/raw/scoping-review/wos/WP1A-WOS-02-1.0-20260901T205114Z/manifest.json,data/interim/scoping-review/wos/WP1A-WOS-02-1.0-20260901T205114Z.csv,0ed2cd511bf5730e451f994cacfe0a0123ce981f57855ee870329954cba63b10,Count plus first page; scientific review pending
WP1A-WOS-01-TS-1.0-20260901T205115Z,WP1A-WOS-01-TS,1.0,WP1A,WP1A_METHODS,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:51:15Z,723,50,1,FALSE,TRUE,data/raw/scoping-review/wos/WP1A-WOS-01-TS-1.0-20260901T205115Z/manifest.json,data/interim/scoping-review/wos/WP1A-WOS-01-TS-1.0-20260901T205115Z.csv,36f96fbb0c4185dcf5fe222ad19853912771ccb40a5eff83074230e8949f0d0d,Count plus first page; scientific review pending
WP1A-WOS-02-TS-1.0-20260901T205117Z,WP1A-WOS-02-TS,1.0,WP1A,WP1A_MEASUREMENT,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:51:17Z,5464,50,1,FALSE,TRUE,data/raw/scoping-review/wos/WP1A-WOS-02-TS-1.0-20260901T205117Z/manifest.json,data/interim/scoping-review/wos/WP1A-WOS-02-TS-1.0-20260901T205117Z.csv,5afa527be31b9afacd2effc9bbc3a3de6924440420ad0467b8b787a8b2da46dd,Count plus first page; scientific review pending
WP1A-WOS-V2-PILOT-2.0-20260901T205118Z,WP1A-WOS-V2-PILOT,2.0,WP1A,WP1A_METHODS;WP1A_MEASUREMENT,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:51:18Z,55493,50,1,FALSE,TRUE,data/raw/scoping-review/wos/WP1A-WOS-V2-PILOT-2.0-20260901T205118Z/manifest.json,data/interim/scoping-review/wos/WP1A-WOS-V2-PILOT-2.0-20260901T205118Z.csv,e25f6a9c9b6f4ccc90b518bb12e197a157d8aa5621904d56e166f5eff7b9e479,Count plus first page; scientific review pending
WP1B-WOS-01-0.1-20260901T205119Z,WP1B-WOS-01,0.1,WP1B,WP1B_CONTENT,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:51:19Z,177167,50,1,FALSE,TRUE,data/raw/scoping-review/wos/WP1B-WOS-01-0.1-20260901T205119Z/manifest.json,data/interim/scoping-review/wos/WP1B-WOS-01-0.1-20260901T205119Z.csv,04a1de7f533f7edc22d2a459d10f537adf04c1ed6302e4e23929e49e4466f5c8,Count plus first page; scientific review pending
WP1B-FUTURE-WOS-01-0.1-20260901T205120Z,WP1B-FUTURE-WOS-01,0.1,WP1B-FUTURE,WP1B_FUTURE,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:51:20Z,2526,50,1,FALSE,TRUE,data/raw/scoping-review/wos/WP1B-FUTURE-WOS-01-0.1-20260901T205120Z/manifest.json,data/interim/scoping-review/wos/WP1B-FUTURE-WOS-01-0.1-20260901T205120Z.csv,9a1bf2fe49516d0a5a0e832c708474c024f39544a4a153163c7ad632c5d7340f,Count plus first page; scientific review pending
WP1A-WOS-01-1.0-20260901T205211Z,WP1A-WOS-01,1.0,WP1A,WP1A_METHODS,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:52:11Z,532,532,11,TRUE,FALSE,data/raw/scoping-review/wos/WP1A-WOS-01-1.0-20260901T205211Z/manifest.json,data/interim/scoping-review/wos/WP1A-WOS-01-1.0-20260901T205211Z.csv,41461de600a9f29cf36a2216de8f8f9310a886b3833185010d4df716cecac40d,Full authorized faithful TI/AB translation
WP1A-WOS-02-1.0-20260901T205222Z,WP1A-WOS-02,1.0,WP1A,WP1A_MEASUREMENT,Web of Science Starter API,https://api.clarivate.com/apis/wos-starter/v1/documents,2026-09-01T20:52:22Z,3660,3660,74,TRUE,FALSE,data/raw/scoping-review/wos/WP1A-WOS-02-1.0-20260901T205222Z/manifest.json,data/interim/scoping-review/wos/WP1A-WOS-02-1.0-20260901T205222Z.csv,a3513e1eb8a88f7fcb87f613dabb088fce40946f1f26c646ceb649726abce0f3,Full authorized faithful TI/AB translation
