run_id,search_strategy_id,search_version,search_line,database,platform,executed_at,endpoint,filters,page_size,pages,total_reported,total_downloaded,completion_status,http_status,error_class,error_message_sanitized,raw_manifest,raw_checksum,software_version,git_commit,dirty_worktree,notes
SR-SCOPUS-C-20260825T075148Z,SR-SCOPUS-C,0.2,C,Scopus,Scopus,2026-08-25T07:51:48Z,https://api.elsevier.com/content/search/scopus,None,200,,,0,FAILED,,scopus_error_bad_request,The 'Scopus' API rejected the request as malformed (HTTP 400).,,,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,
SR-SCOPUS-A-20260825T075323Z,SR-SCOPUS-A,0.2,A,Scopus,Scopus,2026-08-25T07:53:23Z,https://api.elsevier.com/content/search/scopus,None,25,,673,673,TRUNCATED,200,,,logs/scoping-review/sr-scopus-a-subqueries.csv,6525c6a1938c002a62dc5d6d1d8aede0c027c8329f84f3ec3b610ab93560f19d,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,scopusflow 0.4.0; exact logical union of atomic subqueries; paging=offset; subquery_total_sum=707; subquery_overlap=34; Search API does not include authorised abstracts
SR-SCOPUS-B-20260825T080456Z,SR-SCOPUS-B,0.2,B,Scopus,Scopus,2026-08-25T08:04:56Z,https://api.elsevier.com/content/search/scopus,None,25,,16433,16433,TRUNCATED,200,,,logs/scoping-review/sr-scopus-b-subqueries.csv,43a3e7d523a1f55787766d6bd7759ea62b2fc9afe118ff874b89a8143161c109,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,scopusflow 0.4.0; exact logical union of atomic subqueries; paging=year_partition;offset; subquery_total_sum=17408; subquery_overlap=974; Search API does not include authorised abstracts
SR-SCOPUS-C-20260825T080527Z,SR-SCOPUS-C,0.2,C,Scopus,Scopus,2026-08-25T08:05:27Z,https://api.elsevier.com/content/search/scopus,None,25,,683,683,COMPLETE,200,,,logs/scoping-review/sr-scopus-c-subqueries.csv,a642d8e92ce91f09aa80dd2ccff95d4ce38963f1ee2a32aae7b2ee4e573b38d9,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,scopusflow 0.4.0; exact logical union of atomic subqueries; paging=offset; subquery_total_sum=686; subquery_overlap=3; Search API does not include authorised abstracts
SR-SCOPUS-A-20260825T080657Z,SR-SCOPUS-A,0.2,A,Scopus,Scopus,2026-08-25T08:06:57Z,https://api.elsevier.com/content/search/scopus,None,25,,674,674,COMPLETE,200,,,logs/scoping-review/sr-scopus-a-subqueries.csv,89b886dc7ffa2a1891d5b540b5dc24918d955d4378b0020da3c513b044b8de5f,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,scopusflow 0.4.0; exact logical union of atomic subqueries; paging=offset; subquery_total_sum=707; subquery_overlap=33; Search API does not include authorised abstracts
SR-SCOPUS-B-20260825T081754Z,SR-SCOPUS-B,0.2,B,Scopus,Scopus,2026-08-25T08:17:54Z,https://api.elsevier.com/content/search/scopus,None,25,,16430,16430,COMPLETE,200,,,logs/scoping-review/sr-scopus-b-subqueries.csv,043474c09effda57302c95e01bea607f81ee6a3475f028ea9cc487a7bac43ce9,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,scopusflow 0.4.0; exact logical union of atomic subqueries; paging=year_partition;offset; subquery_total_sum=17408; subquery_overlap=978; Search API does not include authorised abstracts
SR-SCOPUS-C-20260825T081827Z,SR-SCOPUS-C,0.2,C,Scopus,Scopus,2026-08-25T08:18:27Z,https://api.elsevier.com/content/search/scopus,None,25,,683,683,COMPLETE,200,,,logs/scoping-review/sr-scopus-c-subqueries.csv,a642d8e92ce91f09aa80dd2ccff95d4ce38963f1ee2a32aae7b2ee4e573b38d9,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,scopusflow 0.4.0; exact logical union of atomic subqueries; paging=offset; subquery_total_sum=686; subquery_overlap=3; Search API does not include authorised abstracts
SR-EMBASE-A-20260825T085940Z,SR-EMBASE-A,0.2,A,Embase,Embase.com,2026-08-25T08:59:40Z,https://api.elsevier.com/content/embase/article,None,1,0,0,0,FAILED,403,EMBASE_ACCESS_DENIED,"{""service-error"":{""status"":{""statusCode"":""AUTHENTICATION_ERROR"",""statusText"":""Requestor configuration settings insufficient for access to this resource.""}}}",,,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,Connection test only; not a bibliographic search execution
SR-EMBASE-B-20260825T085940Z,SR-EMBASE-B,0.2,B,Embase,Embase.com,2026-08-25T08:59:40Z,https://api.elsevier.com/content/embase/article,None,1,0,0,0,FAILED,403,EMBASE_ACCESS_DENIED,"{""service-error"":{""status"":{""statusCode"":""AUTHENTICATION_ERROR"",""statusText"":""Requestor configuration settings insufficient for access to this resource.""}}}",,,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,Connection test only; not a bibliographic search execution
SR-EMBASE-C-20260825T085941Z,SR-EMBASE-C,0.2,C,Embase,Embase.com,2026-08-25T08:59:41Z,https://api.elsevier.com/content/embase/article,None,1,0,0,0,FAILED,403,EMBASE_ACCESS_DENIED,"{""service-error"":{""status"":{""statusCode"":""AUTHENTICATION_ERROR"",""statusText"":""Requestor configuration settings insufficient for access to this resource.""}}}",,,R 4.5.0,995c680b07e410fa6ddba4053d9b45741d7b3103,TRUE,Connection test only; not a bibliographic search execution
SR-PUBMED-A-20260825T144940Z,SR-PUBMED-A,0.3,A,PubMed/MEDLINE,PubMed,2026-08-25T14:49:40Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,,,0,FAILED,,httr2_failure,Failed to perform HTTP request. Caused by error in `curl::curl_fetch_memory()`: ! Could not connect to server [eutils.ncbi.nlm.nih.gov]: Failed to connect to eutils.ncbi.nlm.nih.gov port 443 after 28 ms: Could not connect to server,,,R 4.5.0,fe910613d7be93e3d568945506c01ad66f247a26,TRUE,
SR-PUBMED-B-20260825T144940Z,SR-PUBMED-B,0.3,B,PubMed/MEDLINE,PubMed,2026-08-25T14:49:40Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,,,0,FAILED,,httr2_failure,Failed to perform HTTP request. Caused by error in `curl::curl_fetch_memory()`: ! Could not connect to server [eutils.ncbi.nlm.nih.gov]: Failed to connect to eutils.ncbi.nlm.nih.gov port 443 after 0 ms: Could not connect to server,,,R 4.5.0,fe910613d7be93e3d568945506c01ad66f247a26,TRUE,
SR-PUBMED-C-20260825T144941Z,SR-PUBMED-C,0.3,C,PubMed/MEDLINE,PubMed,2026-08-25T14:49:41Z,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/,None,1000,,,0,FAILED,,httr2_failure,Failed to perform HTTP request. Caused by error in `curl::curl_fetch_memory()`: ! Could not connect to server [eutils.ncbi.nlm.nih.gov]: Failed to connect to eutils.ncbi.nlm.nih.gov port 443 after 1 ms: Could not connect to server,,,R 4.5.0,fe910613d7be93e3d568945506c01ad66f247a26,TRUE,
